کد,نام,برند,دسته,توضیح_کوتاه,توضیح_کامل,قیمت_خرده,قیمت_عمده_پایه,حداقل_عمده,تعداد_در_بسته,موجودی,تصویر_URL,برچسب‌ها,وضعیت(فعال/مخفی)
P-0001,انبردست صنعتی 7 اینچ,Knipex,انبردست,فولادی، گریپ ضدلغزش,بدنه کروم-وانادیوم، مناسب کار سنگین,780000,650000,10,6,24,,"پرفروش,ابزار_دستی",فعال
P-0002,انبردست 6 اینچ,Vorel,انبردست,اقتصادی,مناسب استفاده روزمره,390000,320000,12,12,60,,"اقتصادی,ابزار_دستی",فعال
P-0003,دم‌باریک 6 اینچ نوک‌تیز,Stanley,انبردست,نوک باریک دقیق,مخصوص فضاهای تنگ و الکترونیک,520000,430000,10,10,35,,"الکترونیک,ظریف",فعال
P-0004,پیچ‌گوشتی دوسو 5x100,Bosch,پیچ‌گوشتی,نوک سخت‌کاری‌شده,دسته ارگونومیک ضدلغزش,150000,120000,20,24,200,,"دوسو,دستی",فعال
P-0005,پیچ‌گوشتی چهارسو PH2x100,Bosch,پیچ‌گوشتی,سری مگنتیک,بدنه کروم-وانادیوم,170000,135000,20,24,180,,"چهارسو,مگنتیک",فعال
P-0006,ست پیچ‌گوشتی 6 عددی,Ingco,پیچ‌گوشتی,ست دوسو+چهارسو,جعبه نگهدارنده,720000,600000,6,8,40,,"ست,پرفروش",فعال
P-0007,آچار فرانسه 10 اینچ,Stanley,آچار,فک دقیق,آلیاژ مقاوم، روکش کروم,610000,500000,8,6,28,,"آچار_فرانسه,دستی",فعال
P-0008,آچار یکسر رینگ 13mm,Proxxon,آچار,رینگ پولیش,مقاوم در گشتاور بالا,210000,175000,16,12,90,,"رینگی,13mm",فعال
P-0009,چکش 500 گرمی دسته فایبر,Tolsen,چکش,دسته ضدلرزش,سَر سخت‌کاری‌شده,330000,270000,12,12,55,,"چکش,نیمه‌سنگین",فعال
P-0010,تیغ موکت‌بُر یدکی (10 عدد),Olfa,لوازم مصرفی,بسته 10تایی,سازگار با اغلب کاترها,90000,70000,30,50,500,,"مصرفی,تیغ",فعال
P-0011,کاتر فلزی قفل‌دار,Olfa,ابزار برش,بدنه فلزی,قفل ایمن، برش دقیق,180000,145000,20,24,120,,"کاتر,برش",فعال
P-0012,دریل چکشی 750W,Makita,برقی,سرعت متغیر,مته 13mm، کیف,3980000,3550000,3,2,9,,"دریل,برقی,پرفروش",فعال
P-0013,فرز انگشتی 400W,Makita,برقی,سبک و خوش‌دست,برای پرداخت‌های دقیق,3290000,2890000,3,2,7,,"فرز,پرداخت",فعال
P-0014,اره عمودبر 650W,Bosch,برقی,تعویض تیغ سریع,کنترل سرعت,2850000,2490000,4,2,10,,"اره_عمودبر,برقی",فعال
P-0015,متر 5 متری قفل‌دار,Stanley,اندازه‌گیری,بدنه محکم,قلاب مگنتیک,145000,120000,20,24,260,,"متر,اندازه",فعال
P-0016,تراز دستی 40cm,Stanley,اندازه‌گیری,حباب دقیق,بدنه آلومینیومی,280000,235000,12,12,70,,"تراز,اندازه",فعال
P-0017,دستکش ایمنی کف مواد,Dewo,ایمنی,Grip بالا,مقاوم در برابر سایش,65000,50000,50,120,1200,,"ایمنی,دستکش",فعال
P-0018,عینک ایمنی شفاف,3M,ایمنی,شفاف ضدخش,طراحی سبک,78000,62000,40,60,800,,"ایمنی,عینک",فعال
P-0019,ماسک سه‌لایه (50عددی),NoBrand,ایمنی,بسته 50 تایی,مصرفی کارگاهی,95000,75000,30,40,400,,"ایمنی,ماسک",فعال
P-0020,مته آهن HSS ست 1-10mm,Bosch,ملزومات,ست 19 عددی,کیف فلزی,820000,700000,6,4,18,,"مته,ملزومات",فعال
